,Logistic,KNN,SVM,RF,ExT,Ada,Grad,XGB,CatB,MLP
0,0.7346938775510204,0.792079207920792,0.8118811881188119,0.7961165048543689,0.8269230769230769,0.764705882352941,0.7835051546391754,0.7843137254901961,0.8349514563106797,0.8440366972477065
1,0.7192982456140351,0.7476635514018691,0.7254901960784313,0.7339449541284404,0.7636363636363637,0.6788990825688074,0.7222222222222221,0.7850467289719626,0.8073394495412846,0.7966101694915254
2,0.6981132075471698,0.7289719626168225,0.7450980392156863,0.7599999999999999,0.764705882352941,0.6666666666666665,0.764705882352941,0.7722772277227722,0.7800000000000001,0.8070175438596492
3,0.7857142857142857,0.7339449541284405,0.7924528301886793,0.7884615384615384,0.8224299065420562,0.7047619047619047,0.8076923076923077,0.8461538461538461,0.8148148148148148,0.8076923076923077
4,0.7090909090909091,0.7777777777777779,0.7572815533980581,0.7572815533980581,0.7766990291262136,0.7652173913043477,0.7924528301886793,0.7809523809523811,0.7809523809523811,0.7522935779816513
5,0.7307692307692307,0.6788990825688073,0.7021276595744681,0.7184466019417476,0.737864077669903,0.8224299065420562,0.7547169811320756,0.7238095238095238,0.7428571428571428,0.7478260869565218
6,0.7636363636363637,0.7818181818181819,0.7850467289719626,0.8224299065420562,0.8224299065420562,0.7272727272727273,0.8000000000000002,0.8073394495412846,0.8181818181818182,0.8073394495412846
7,0.7878787878787878,0.7961165048543689,0.7835051546391754,0.7959183673469388,0.792079207920792,0.7474747474747475,0.7999999999999999,0.8118811881188119,0.7959183673469388,0.8363636363636363
8,0.723404255319149,0.7722772277227722,0.7526881720430109,0.8367346938775511,0.8367346938775511,0.7238095238095238,0.7872340425531915,0.8080808080808082,0.8333333333333334,0.8703703703703703
9,0.736842105263158,0.6885245901639345,0.7207207207207208,0.7169811320754716,0.7272727272727273,0.7130434782608696,0.7387387387387387,0.7543859649122807,0.7610619469026548,0.7000000000000001
10,0.6666666666666667,0.7200000000000001,0.7291666666666666,0.7551020408163266,0.7428571428571428,0.6601941747572815,0.7400000000000001,0.7307692307692308,0.7599999999999999,0.7894736842105264
11,0.7547169811320754,0.7706422018348624,0.7766990291262137,0.8282828282828283,0.8148148148148149,0.7184466019417476,0.7722772277227722,0.8108108108108109,0.8431372549019609,0.8080808080808082
12,0.761904761904762,0.7358490566037736,0.7843137254901961,0.7961165048543689,0.8000000000000002,0.7962962962962964,0.8000000000000002,0.7924528301886793,0.819047619047619,0.854368932038835
13,0.8269230769230769,0.7962962962962962,0.8235294117647057,0.8349514563106796,0.8571428571428571,0.7809523809523811,0.838095238095238,0.8679245283018867,0.8461538461538461,0.8256880733944955
14,0.7037037037037038,0.7289719626168223,0.7184466019417476,0.74,0.737864077669903,0.6785714285714286,0.7307692307692307,0.7547169811320756,0.7619047619047619,0.7787610619469025
15,0.8181818181818182,0.7454545454545455,0.7307692307692307,0.8148148148148148,0.7522935779816513,0.793103448275862,0.8076923076923077,0.8035714285714286,0.7889908256880735,0.8035714285714286
16,0.75,0.7079646017699116,0.7450980392156863,0.8155339805825242,0.7889908256880734,0.8000000000000002,0.764705882352941,0.8333333333333334,0.8301886792452831,0.8000000000000002
17,0.7572815533980584,0.8224299065420562,0.7843137254901961,0.8155339805825242,0.8155339805825242,0.7547169811320754,0.7843137254901961,0.8411214953271028,0.8269230769230769,0.810344827586207
18,0.7222222222222221,0.7818181818181819,0.8000000000000002,0.8076923076923076,0.7962962962962964,0.7450980392156863,0.819047619047619,0.8181818181818182,0.7924528301886793,0.8224299065420562
19,0.7428571428571428,0.7428571428571428,0.7474747474747475,0.7692307692307693,0.7850467289719626,0.7610619469026548,0.7706422018348624,0.7924528301886793,0.8224299065420562,0.8672566371681416
20,0.7627118644067797,0.7818181818181819,0.8076923076923076,0.7735849056603775,0.7592592592592593,0.7102803738317757,0.8113207547169811,0.761904761904762,0.7850467289719626,0.7610619469026548
21,0.7115384615384616,0.7889908256880734,0.780952380952381,0.8380952380952381,0.8224299065420562,0.7692307692307693,0.8235294117647058,0.8333333333333334,0.8380952380952381,0.8235294117647058
22,0.7599999999999999,0.766355140186916,0.7722772277227722,0.8113207547169811,0.7889908256880734,0.7238095238095238,0.7735849056603775,0.8440366972477065,0.819047619047619,0.8288288288288289
23,0.7692307692307692,0.6730769230769231,0.6938775510204083,0.7578947368421053,0.7878787878787877,0.6534653465346534,0.8,0.8037383177570093,0.8039215686274508,0.7706422018348623
24,0.7818181818181819,0.7962962962962962,0.7777777777777779,0.7809523809523811,0.7962962962962962,0.7777777777777779,0.7636363636363638,0.8318584070796461,0.8073394495412844,0.8039215686274508
25,0.7222222222222223,0.7407407407407408,0.7647058823529412,0.7450980392156864,0.7692307692307692,0.6972477064220183,0.7735849056603773,0.8256880733944955,0.7962962962962962,0.823529411764706
26,0.6796116504854369,0.7326732673267325,0.7422680412371134,0.7755102040816326,0.737864077669903,0.7818181818181819,0.7628865979381443,0.7676767676767676,0.7628865979381443,0.7735849056603775
27,0.7254901960784313,0.7070707070707071,0.7272727272727274,0.7400000000000001,0.764705882352941,0.7184466019417476,0.7400000000000001,0.7450980392156863,0.7400000000000001,0.7999999999999999
28,0.737864077669903,0.7719298245614035,0.7735849056603775,0.7924528301886793,0.8214285714285714,0.7256637168141592,0.7924528301886793,0.8000000000000002,0.8256880733944955,0.8347826086956521
29,0.7843137254901961,0.7777777777777778,0.7599999999999999,0.7843137254901961,0.8037383177570092,0.7706422018348624,0.8411214953271028,0.8181818181818182,0.8301886792452831,0.7850467289719626
